ID,Title,Pay,OT Pay,Other Pay,Benefits,Compensation,Employment
123382,Automotive Service Worker,63301,21236.69,10849.3,30062.04,125449.03,FT
123383,Transit Operator,66156.89,20542.51,2796.43,35938.78,125434.61,FT
123384,Librarian 3,89999.04,0,811.35,34621.04,125431.43,FT
123385,Medical Social Worker,90185.02,0,1372,33872.7,125429.72,FT
123386,Nurse Manager,94677.6,0,1160.58,29589.23,125427.41,PT
123387,Librarian 2,90576.5,0,991.16,33858.12,125425.78,FT
123388,Accountant IV,100862.71,0,0,24562.64,125425.35,FT
123389,"Claims Investigator, CA",100863.84,0,0,24560.8,125424.64,FT
123390,Nurse Practitioner,107963.68,0,3248.04,14205.4,125417.12,PT
123391,Construction Inspector,90678.91,1048.04,0,33689.5,125416.45,FT
123392,Protective Services Worker,89446.4,0,2101.66,33863.39,125411.45,FT
123393,Deputy Sheriff,83569.32,7507.7,3550.64,30781.45,125409.11,PT
123394,Program Support Analyst,91536.93,0,0,33870.44,125407.37,FT
123395,Psychiatric Social Worker,90185.08,0,1346.92,33867.56,125399.56,FT
123396,Airport Safety Officer,74730.22,13290.82,5136.85,32241.3,125399.19,FT
123397,"Marriage, Family & Child Cnslr",90152.2,0,1380,33864.4,125396.6,FT
123398,Librarian 2,90665.06,0,855.45,33864.92,125385.43,FT
123399,Registered Nurse,81588.13,8135.21,8635.39,27023.86,125382.59,PT
123400,Automotive Machinist,81917.8,8881.09,1531.86,33044.72,125375.47,FT
123401,Painter Supervisor 1,89864,1537.64,375,33597.23,125373.87,FT
123402,Carpenter,83880.01,5379.12,3183,32908.95,125351.08,FT
123403,Medical Social Worker,90185,0,1300,33862.41,125347.41,FT
123404,Housing Inspector,87851.33,658.97,2765.13,34067.74,125343.17,FT
123405,Nursing Assistant,67948,22034.47,5499.96,29860.29,125342.72,FT
123406,Automotive Mechanic,78522,13886.23,1546.9,31384.42,125339.55,FT
123407,Senior Physician Specialist,93121,0,4656.05,27559.37,125336.42,PT
123408,Sr Personal Property Auditor,91014.05,0,460,33862.36,125336.41,FT
123409,Asst Engr,90725,0,0,34608.58,125333.58,FT
123410,Invstgtor Ofc Citizen Cmplnts,90435.07,0,1040,33854.96,125330.03,FT
123411,Planner 3,92258.25,0,0,33066.46,125324.71,FT
123412,Legislative Assistant,91462.78,0,0,33860.23,125323.01,FT
123413,Transit Operator,61563.1,27263.28,3531.69,32958.78,125316.85,FT
123414,Transit Operator,64200.88,27480,328.71,33305.28,125314.87,FT
123415,Carpenter,83880.01,5303.98,3217.5,32900.25,125301.74,FT
123416,Transit Operator,67439.33,18398.82,2859.34,36602.64,125300.13,FT
123417,Communications Dispatcher 1,56722.15,38150.53,3638.06,26781.16,125291.9,FT
123418,Transit Operator,66445.39,19019.9,4230.78,35593.6,125289.67,FT
123419,Museum Sec Supv,67914.47,28674.06,0,28698.85,125287.38,FT
123420,Parking Control Officer,55811.99,37669.38,5449.91,26354.46,125285.74,FT
123421,Transit Operator,66543.83,18582.64,3749.25,36408.27,125283.99,FT
123422,EEO Senior Specialist,90676.92,0,0,34590.83,125267.75,FT
123423,Commercial Div Asst Sprv,84274.09,0,0,40993.56,125267.65,FT
123424,Commercial Div Asst Sprv,84274.05,0,0,40993.57,125267.62,FT
123425,Commercial Div Asst Sprv,84274.03,0,0,40993.56,125267.59,FT
123426,Commercial Div Asst Sprv,84274.01,0,0,40993.55,125267.56,FT
123427,Medical Social Worker,89839,0,1621.6,33800.66,125261.26,FT
123428,Transit Car Cleaner,59057.44,29440.17,8526.43,28237.08,125261.12,FT
123429,Stationary Engineer,78607,3679.15,9792.71,33179.69,125258.55,FT
123430,"Manager VI, MTA",88583.69,0,3156.65,33516.03,125256.37,PT
123431,Librarian 2,90323.92,0,1129.7,33798.27,125251.89,FT
123432,Sr Payroll & Personnel Clerk,73471.06,21858.09,0,29920.02,125249.17,FT
123433,IS Business Analyst,91658.2,0,0,33589.41,125247.61,FT
123434,Truck Driver,79281,12133.84,2164,31668.47,125247.31,FT
123435,Stationary Engineer,79882.64,4580.68,7762.16,33019.3,125244.78,FT
123436,Transit Operator,62957.61,23256.88,5009.46,34020.04,125243.99,FT
123437,Media Training Specialist,90526.14,869.03,208.03,33637.16,125240.36,FT
123438,Senior Administrative Analyst,90650.24,0,0,34586.96,125237.2,FT
123439,"Sergeant, (Police Department)",16032,0,104018.22,5179.89,125230.11,PT
123440,Public SafetyComm Disp,84199.43,4925.9,3741.15,32361.3,125227.78,FT
123441,Firefighter,72348.76,7007.96,10489.29,35372.11,125218.12,FT
123442,Transit Operator,67638.47,19779.82,2173.05,35625.05,125216.39,FT
123443,Clinical Psychologist,92653.85,0,0,32550.69,125204.54,PT
123444,Registered Nurse,91453.25,150.86,2382.36,31209.67,125196.14,PT
123445,EMT/Paramedic/Firefighter,80143,3681.07,8007.75,33360.74,125192.56,FT
123446,Patient Accounts Supervisor,84659,7401.67,624,32501.49,125186.16,FT
123447,Transit Operator,66801.32,18101.48,4435.59,35846.85,125185.24,FT
123448,Automotive Machinist,79537.02,12834.92,1297.97,31514.63,125184.54,FT
123449,Transit Operator,66203.93,23044.71,613.07,35313.94,125175.65,FT
123450,IT Operations Support Admn III,84898,0,6441.79,33827.75,125167.54,FT
123451,Parking Control Officer,59555.2,36614.66,1761.65,27234.44,125165.95,FT
123452,General Laborer,61818,26090.51,9417.23,27834.51,125160.25,FT
123453,Chef,74396.38,17031.93,2555.21,31154.83,125138.35,FT
123454,"Marriage, Family & Child Cnslr",90185.02,0,1140,33812.58,125137.6,FT
123455,Patient Accounts Supervisor,84659,7179.8,0,33283.54,125122.34,FT
123456,"Stationary Eng, Sewage Plant",82558.56,2357.88,7329.86,32873.82,125120.12,FT
123457,Sewer Service Worker,85966,2385.53,3363.27,33394.53,125109.33,FT
123458,Safety Analyst,90968,0,0,34139.26,125107.26,FT
123459,Transit Operator,66474.9,20526.02,2875.53,35230.44,125106.89,FT
123460,Librarian 2,90665.06,0,624,33814.01,125103.07,FT
123461,Librarian 2,90665.06,0,624,33813.99,125103.05,FT
123462,Librarian 2 - Asian Arts,90665,0,624,33813.96,125102.96,FT
123463,"Marriage, Family & Child Cnslr",90185.03,0,1100,33813.7,125098.73,FT
123464,Health Educator,90539.04,0,0,34557.23,125096.27,FT
123465,Transit Operator,65862.3,14898.96,7938.06,36394.74,125094.06,FT
123466,IT Operations Support Admn III,84898,0,6378.79,33805.46,125082.25,FT
123467,Truck Driver,79287.18,4533.41,8259.46,32996.7,125076.75,FT
123468,"Marriage, Family & Child Cnslr",90185.09,0,1080,33809.21,125074.3,FT
123469,Transit Operator,66153.14,22202.79,1932.52,34778.05,125066.5,FT
123470,Asst Engr,84565.41,0,7233.66,33265.3,125064.37,FT
123471,Chemist III,90734.52,0,0,34329.61,125064.13,FT
123472,Diagnostic Imaging Tech I,89226.14,1340.94,250,34247.02,125064.1,FT
123473,EMT/Paramedic/Firefighter,80594,3804.01,7105.33,33549.85,125053.19,FT
123474,Sr Psychiatric Social Worker,88965.03,0,3127.93,32960.23,125053.19,FT
123475,Administrative Analyst,91276.01,0,0,33775.91,125051.92,FT
123476,IT Operations Support Admn III,84898,0,6335.98,33801.53,125035.51,FT
123477,Medical Social Worker,90185.09,0,1040,33800.46,125025.55,FT
123478,Librarian 2,90665.02,0,552,33798.63,125015.65,FT
123479,Sr Psychiatric Social Worker,90450.28,0,1240,33319.36,125009.64,FT
123480,Senior Parking Control Officer,68926.41,26458.02,945.39,28677.21,125007.03,FT
123481,Librarian 2,90061.97,0,1220.37,33722.21,125004.55,FT
123482,Medical Social Worker,89261.63,0,1320,34419.46,125001.09,FT
123483,Dentist,94102.95,0,0,30897.47,125000.42,PT
123484,Public SafetyComm Disp,78809.29,6027.61,8733.71,31426.22,124996.83,PT
123485,Medical Social Worker,88918.72,0,2544.85,33532.97,124996.54,FT
123486,Psychiatric Social Worker,89842.43,0,1400,33753.08,124995.51,FT
123487,"Marriage, Family & Child Cnslr",90185.07,0,1000,33795.77,124980.84,FT
123488,Medical Social Worker,90185.05,0,1000,33788.61,124973.66,FT
123489,General Laborer,61818,29678.99,5002.8,28466.4,124966.19,FT
123490,Industrial Hygienist,95398.6,0,0,29565.62,124964.22,FT
123491,Truck Driver,79281.06,9647.05,3966.25,32062.64,124957,FT
123492,Truck Driver,79281,8326.41,5052.33,32293.35,124953.09,FT
123493,Protective Services Supervisor,86973.37,3497.49,4406.03,30075.53,124952.42,PT
123494,Payroll Supervisor,91147.45,0,0,33788.67,124936.12,FT
123495,Transit Operator,64739.98,20589.38,4730.04,34872.05,124931.45,FT
123496,Deputy Sheriff 1,66703.53,21341.55,6125.16,30757.94,124928.18,FT
123497,Health Educator,90395,0,0,34525.08,124920.08,FT
123498,Automotive Service Worker,63301,20357,11124.97,30118.26,124901.23,FT
123499,Licensed Vocational Nurse,73134,13619.85,6858.66,31288.21,124900.72,FT
123500,IS Administrator 2,84898,0,6217.09,33775.09,124890.18,FT
123501,Transit Operator,63825.97,18058.36,7727.8,35277.35,124889.48,FT
123502,"Sr Counselor, Juvenile Hall",85656.02,6546.35,1127.29,31558.41,124888.07,FT
123503,Transit Operator,64556.94,23663.83,2531.38,34135.32,124887.47,FT
123504,Stationary Engineer,78133.07,5292.49,7949.17,33505.32,124880.05,FT
123505,Licensed Vocational Nurse,73134,20888.26,874,29979.66,124875.92,FT
123506,Transit Operator,65431.19,17672.39,6118.69,35644.44,124866.71,FT
123507,Media Production Supv,89817.05,0,1277.3,33771.29,124865.64,FT
123508,Medical Records Tech Sprv,81005.03,11269.12,874,31702.81,124850.96,FT
123509,Maintenance Planner,86996.01,0,4571.93,33282.84,124850.78,FT
123510,Microbiologist,91073.04,0,0,33766.7,124839.74,FT
123511,Transit Operator,66278.66,25950.5,427.5,32167.2,124823.86,FT
123512,Invstgtor Ofc Citizen Cmplnts,90435.1,0,624,33763.83,124822.93,FT
123513,Invstgtor Ofc Citizen Cmplnts,90435.05,0,624,33763.8,124822.85,FT
123514,Public Defender's Investigator,90435,0,624,33763.79,124822.79,FT
123515,Firefighter,72383.25,11210.82,6682.65,34541.88,124818.6,FT
123516,Accountant III,91034.01,0,0,33779.23,124813.24,FT
123517,Automotive Mechanic,77094.2,15476.58,1435.75,30800.87,124807.4,FT
123518,Rehabilitation Svcs Coord,88045.02,0,3000.44,33760.3,124805.76,FT
123519,Victim/Witness Investigator 3,91043.03,0,0,33760.31,124803.34,FT
123520,Victim/Witness Investigator 3,91043.02,0,0,33760.31,124803.33,FT
123521,Victim/Witness Investigator 3,91043.01,0,0,33760.31,124803.32,FT
123522,Victim/Witness Investigator 3,91043,0,0,33760.31,124803.31,FT
123523,Invstgtor Ofc Citizen Cmplnts,90435.05,0,600,33758.68,124793.73,FT
123524,Public Defender's Investigator,90435,0,600,33758.67,124793.67,FT
123525,Medical Evaluations Assistant,61651.51,35007.83,1068.63,27052.34,124780.31,FT
123526,Regulatory Specialist,90272.03,0,0,34503.39,124775.42,FT
123527,Regulatory Specialist,90272.01,0,0,34503.39,124775.4,FT
123528,Librarian 2,89283.54,0,1901.82,33585.54,124770.9,FT
123529,Licensed Vocational Nurse,73134,12731.16,7481.33,31422.67,124769.16,FT
123530,Transit Operator,65143.08,27508.33,594.27,31521.8,124767.48,FT
123531,Electrical Transit System Mech,81830.01,7807.16,2770,32356.43,124763.6,FT
123532,Water Quality Technician,75911.25,18385.31,0,30455.13,124751.69,FT
123533,Electrical Transit System Mech,81830.01,9623.1,1268.82,32024.64,124746.57,FT
123534,Invstgtor Ofc Citizen Cmplnts,90370.65,0,623.55,33739.99,124734.19,FT
123535,Commercial Div Asst Sprv,82795.27,0,555.92,41364.28,124715.47,FT
123536,Truck Driver,72392.75,20609.67,1158.13,30543.26,124703.81,FT
123537,Automotive Machinist,79760.81,10931.9,1452.54,32555.21,124700.46,FT
123538,Psychiatric Social Worker,90185.1,0,769.72,33741.58,124696.4,FT
123539,"Marriage, Family & Child Cnslr",90185.06,0,766.3,33740.41,124691.77,FT
123540,Transit Operator,66324.92,14535.7,7360.5,36457.99,124679.11,FT
123541,Medical Social Worker,90185.02,0,0,34474.77,124659.79,FT
123542,Medical Social Worker,90185.01,0,0,34474.76,124659.77,FT
123543,Psychiatric Social Worker,90185,0,0,34474.75,124659.75,FT
123544,Accountant III,90914.05,0,0,33734.56,124648.61,FT
123545,Protective Services Worker,91305.55,0,0,33335.99,124641.54,FT
123546,Transit Operator,65417.44,22613.92,2131.01,34463.37,124625.74,FT
123547,Asst Engr,90147.03,0,0,34476.55,124623.58,FT
123548,Asst Engr,90147.01,0,0,34476.55,124623.56,FT
123549,Nutritionist,90885.08,0,0,33725.85,124610.93,FT
123550,Health Educator,90885.05,0,0,33725.61,124610.66,FT
123551,Health Educator,90885.03,0,0,33725.61,124610.64,FT
123552,Nutritionist,90885,0,0,33725.61,124610.61,FT
123553,Assoc Engineer,90134.45,0,0,34473.96,124608.41,FT
123554,Comm Pol Svcs Aide Supervisor,76052.06,15427.21,2170.34,30953.61,124603.22,FT
123555,Health Educator,90664.21,0,240,33694.65,124598.86,FT
123556,Protective Services Worker,90734.31,0,597.6,33260.39,124592.3,FT
123557,Transit Operator,66655.18,15370.76,6247.15,36305.87,124578.96,FT
123558,Attorney (Civil/Criminal),87406.52,0,8601.86,28560.78,124569.16,PT
123559,Transit Operator,66826.23,19337.03,2962.69,35440.87,124566.82,FT
123560,Medical Social Worker,89849.14,0,1040,33675.51,124564.65,FT
123561,"Marriage, Family & Child Cnslr",88619.33,0,2497.07,33436.27,124552.67,FT
123562,Senior Personnel Analyst,90827.8,0,0,33722.86,124550.66,FT
123563,Asst Engr,86314.71,478.95,3383.72,34371.83,124549.21,FT
123564,"Operating Engineer, Universal",81559.68,11806.27,40,31141.69,124547.64,PT
123565,Automotive Service Worker,63301.07,20583.89,10581.68,30070.26,124536.9,FT
123566,IS Business Analyst-Senior,86242.95,0,6155.28,32135.79,124534.02,FT
123567,Transit Operator,66645.78,22519.89,688.5,34675.67,124529.84,FT
123568,"Stationary Eng, Sewage Plant",83253.85,17481.68,3708.54,20083.8,124527.87,FT
123569,Psychiatric Social Worker,87930.43,433.4,3323.75,32835.54,124523.12,FT
123570,Transit Operator,66841.63,18061.08,3905.5,35714.12,124522.33,FT
123571,Medical Social Worker,90185.13,0,624,33709.31,124518.44,FT
123572,Medical Social Worker,90185.1,0,624,33709.29,124518.39,FT
123573,Medical Social Worker,90185.09,0,624,33709.29,124518.38,FT
123574,Medical Social Worker,90185.08,0,624,33709.29,124518.37,FT
123575,Medical Social Worker,90185.07,0,624,33709.3,124518.37,FT
123576,Medical Social Worker,90185.05,0,624,33709.29,124518.34,FT
123577,"Marriage, Family & Child Cnslr",90185.04,0,624,33709.29,124518.33,FT
123578,Medical Social Worker,90185.03,0,624,33709.29,124518.32,FT
123579,"Marriage, Family & Child Cnslr",90185.03,0,624,33709.29,124518.32,FT
123580,Child Support Officer III,90185.03,0,624,33709.29,124518.32,FT
123581,Child Support Officer III,90185.03,0,624,33709.29,124518.32,FT
123582,"Marriage, Family & Child Cnslr",90185.03,0,624,33709.29,124518.32,FT
123583,Child Support Officer III,90185.02,0,624,33709.29,124518.31,FT
123584,Psychiatric Social Worker,90185.01,0,624,33709.29,124518.3,FT
123585,Psychiatric Social Worker,90185.01,0,624,33709.29,124518.3,FT
123586,"Marriage, Family & Child Cnslr",90185.01,0,624,33709.29,124518.3,FT
123587,Psychiatric Social Worker,90185,0,624,33709.29,124518.29,FT
123588,Psychiatric Social Worker,90185,0,624,33709.29,124518.29,FT
123589,Psychiatric Social Worker,90185,0,624,33709.29,124518.29,FT
123590,Psychiatric Social Worker,90185.01,0,624,33709.28,124518.29,FT
123591,"Marriage, Family & Child Cnslr",90185,0,624,33709.29,124518.29,FT
123592,Medical Social Worker,90185,0,624,33709.29,124518.29,FT
123593,Curator 4,72874.01,0,18245.3,33398.41,124517.72,FT
123594,Physician Specialist,93088.6,0,4500,26922.93,124511.53,PT
123595,Librarian 2,90665.05,0,135.97,33708.17,124509.19,FT
123596,Planner 3,90786.06,0,0,33716.73,124502.79,FT
123597,Sewer Service Worker,82606.81,9203.78,42.98,32646.5,124500.07,FT
123598,Park Section Supervisor,83251.05,7127.31,1691.03,32427.4,124496.79,FT
123599,"Station Agent, Muni Railway",79545.54,11374.99,1969.73,31592.21,124482.47,FT
123600,Transit Operator,66865.83,17457.14,3629.01,36528.63,124480.61,FT
123601,Health Educator,87264.25,0,2770.97,34441.57,124476.79,FT
123602,Transit Operator,63239.95,23684.71,3725.37,33811.58,124461.61,FT
123603,"Marriage, Family & Child Cnslr",90185.11,0,576,33699.05,124460.16,FT
123604,Psychiatric Social Worker,90185.08,0,576,33699.08,124460.16,FT
123605,Medical Social Worker,90185.09,0,576,33699.06,124460.15,FT
123606,"Investigator,Taxi & AccessSvcs",90022.01,0,0,34437.39,124459.4,FT
123607,"Investigator,Taxi & AccessSvcs",90022,0,0,34437.39,124459.39,FT
123608,"Investigator,Taxi & AccessSvcs",90022,0,0,34437.39,124459.39,FT
123609,"Investigator,Taxi & AccessSvcs",90022,0,0,34437.39,124459.39,FT
123610,Carpenter,84046,4321.59,3160,32924.46,124452.05,FT
123611,Automotive Mechanic,78223.8,10627.37,3077.31,32512.52,124441,FT
123612,Regulatory Specialist,89998.4,0,0,34439.28,124437.68,FT
123613,Librarian 2,90665.09,0,72,33693.83,124430.92,FT
123614,Nurse Practitioner,89246.44,5610.79,362.91,29209.15,124429.29,PT
123615,Transit Operator,66032.33,16826.81,5740.34,35829.18,124428.66,FT
123616,Patient Accounts Supervisor,84659.01,7392.27,0,32365.16,124416.44,FT
123617,Electronic Maintenance Tech,79003.8,6533.7,8948.04,29926.19,124411.73,PT
123618,Cement Mason,74141.57,19879.36,258,30131.23,124410.16,FT
123619,EMT/Paramedic/Firefighter,80387.38,6599.05,6186.37,31236.43,124409.23,FT
123620,"Marriage, Family & Child Cnslr",90185,0,528,33688.81,124401.81,FT
123621,Firefighter,66846.47,22230.91,4491.86,30820.46,124389.7,FT
123622,Psychiatric Social Worker,90091.2,0,623.35,33674.17,124388.72,FT
123623,"Marriage, Family & Child Cnslr",86397.1,1244.54,2596.33,34145.86,124383.83,FT
123624,Truck Driver,78598.03,3891.66,9005.03,32888.84,124383.56,FT
123625,Transit Operator,65710.26,18599.1,4705.23,35362.82,124377.41,FT
123626,Transit Operator,65729.44,15665.67,6937.18,36042.74,124375.03,FT
123627,Transit Operator,63437.5,21450.1,5155.77,34331.27,124374.64,FT
123628,Nursing Assistant,67948,21189.61,5394.32,29839.1,124371.03,FT
123629,Psychiatric Social Worker,90618.11,0,61.2,33678.3,124357.61,FT
123630,Pharmacy Technician,80047,12947.17,0,31357.24,124351.41,FT
123631,Junior Engineer,84739.3,2849.96,2860.41,33896.25,124345.92,FT
123632,Transit Supervisor,77002.4,12770.86,3179,31388.07,124340.33,FT
123633,Librarian 2,90665.01,0,0,33673.82,124338.83,FT
123634,Transit Operator,65943.51,18451.11,4516.82,35427.14,124338.58,FT
123635,Audiologist,90362.54,0,0,33971.43,124333.97,FT
123636,Special Nurse,101677.87,2267.28,20368.48,0,124313.63,PT
123637,Firefighter,75951.45,10175.47,9346.51,28831.55,124304.98,PT
123638,Automotive Machinist,79760.8,10511.18,1474.8,32557.02,124303.8,FT
123639,Personnel Analyst,90633,0,0,33668.58,124301.58,FT
123640,"Sr Counselor, Juvenile Hall",80488.56,12969.28,986.4,29845.92,124290.16,FT
123641,Registered Nurse,93171.84,0,250,30861.54,124283.38,PT
123642,Stationary Engineer,78607.02,5345.34,7611.46,32704.27,124268.09,FT
123643,EMT/Paramedic/Firefighter,78537.44,2192.04,10266.62,33261.7,124257.8,FT
123644,Medical Social Worker,90185,0,400,33662.65,124247.65,FT
123645,Stationary Engineer,78607,4892.18,7955.73,32790.92,124245.83,FT
123646,Senior Parking Control Officer,71170.32,22722.93,782.7,29560.92,124236.87,FT
123647,Maintenance Machinist,81830.01,0,8742.44,33659.55,124232,FT
123648,Emergency Services Coord III,86450,0,3971.45,33807.34,124228.79,FT
123649,Transit Operator,68103.92,17802.73,2391.56,35927.67,124225.88,FT
123650,Transit Operator,64084.72,20531.76,4302.92,35297.11,124216.51,FT
123651,Special Nurse,99955.05,6398.46,16629.03,1229.84,124212.38,PT
123652,Pharmacy Technician,77457.2,6797.2,6814.14,33133.19,124201.73,FT
123653,Protective Services Worker,89584.02,0,1764.51,32849.22,124197.75,FT
123654,Transit Operator,67276.92,18816.98,1878.81,36221.2,124193.91,FT
123655,Electrical Transit System Mech,72220.2,22944.4,10,28999.03,124173.63,PT
123656,Deputy Sheriff,87626.08,0,4258.41,32280.69,124165.18,FT
123657,Senior Administrative Analyst,91334.59,0,0,32815.86,124150.45,FT
123658,Stationary Engineer,78658.78,6255.09,6712.16,32518.98,124145.01,FT
123659,Engineering Associate 1,80471,12223.59,0,31449.76,124144.35,FT
123660,HSA Sr Eligibility Worker,74014.63,17956.27,1835.2,30331.43,124137.53,FT
123661,Transit Operator,65504.8,19136.48,4339.87,35151.18,124132.33,FT
123662,Nursing Assistant,66922.51,22317.57,5471.38,29419.97,124131.43,FT
123663,Eligibility Worker Supervisor,82589.02,9617.57,0,31914.08,124120.67,FT
123664,Licensed Vocational Nurse,72050.32,20750.37,1596.59,29708.16,124105.44,FT
123665,Stationary Engineer,78607.01,5208.13,7593.38,32684.87,124093.39,FT
123666,"Stationary Eng, Sewage Plant",85535.23,0,5071.58,33482.45,124089.26,FT
123667,Special Nurse,105786.99,2895.54,14174.72,1228.57,124085.82,PT
123668,Automotive Machinist,77918.61,13099.6,1264.67,31792.94,124075.82,FT
123669,Roofer Supervisor 1,90222.03,267.45,0,33580.79,124070.27,FT
123670,Automotive Machinist,77443.19,13733.21,1284.35,31607.68,124068.43,FT
123671,Public Defender's Investigator,90435.01,0,0,33627.51,124062.52,FT
123672,Public Defender's Investigator,90435.01,0,0,33627.51,124062.52,FT
123673,Public Defender's Investigator,90435,0,0,33627.51,124062.51,FT
123674,Invstgtor Ofc Citizen Cmplnts,90435,0,0,33627.51,124062.51,FT
123675,Transit Operator,66589.38,16601.13,4968.63,35896.7,124055.84,FT
123676,Clinical Psychologist,89961.58,0,0,34088.67,124050.25,FT
123677,Transit Operator,62789.64,21617.28,5543.12,34097.95,124047.99,FT
123678,Victim/Witness Investigator 3,89832.03,0,0,34213.83,124045.86,FT
123679,Program Support Analyst,90414.01,0,0,33631.01,124045.02,FT
123680,Transit Car Cleaner,60761.02,24398.1,9640.52,29243,124042.64,FT
123681,Deputy Sheriff,87761.9,1841.07,950,33488.74,124041.71,FT
123682,Transportation Planner III,90405.02,0,0,33635.47,124040.49,FT
123683,Truck Driver,79281.04,12210.97,1106.69,31430.72,124029.42,FT
123684,Stationary Engineer,78165.82,7966.56,5757.9,32123.14,124013.42,FT
123685,Truck Driver,79281,10843.47,2213.18,31675.23,124012.88,FT
123686,Sr Cent Proc & Dist Tech,87200.01,2929.73,824,33056.83,124010.57,FT
123687,Transit Operator,61759.46,23997.04,4883.31,33356.96,123996.77,FT
123688,Survey Associate,90376.04,0,0,33616.57,123992.61,FT
123689,Transit Operator,65657.05,14674.36,7496.1,36163.49,123991,FT
123690,Truck Driver,78658.8,67.6,11013.88,34245.26,123985.54,FT
123691,Transit Car Cleaner,60771,24909.5,9156.64,29143.69,123980.83,FT
123692,Transit Operator,65251.58,22513.59,1220.89,34986.47,123972.53,FT
123693,Stationary Engineer,78813.51,7049.39,5762.92,32344.44,123970.26,FT
123694,Transit Supervisor,81007.8,5473.65,4945.85,32542.58,123969.88,FT
123695,Emergency Services Coord III,87906.02,0,2070.92,33980.54,123957.48,FT
123696,Transit Operator,64825.1,22299.18,2556.38,34276.59,123957.25,FT
123697,Protective Services Worker,90065.92,0,122.52,33765.18,123953.62,FT
123698,IS Business Analyst,90120.03,67.44,183.54,33578.06,123949.07,FT
123699,Automotive Mechanic,78522.04,12742.12,1328.33,31338.72,123931.21,FT
123700,"Counselor, Log Cabin Ranch",72176.94,12774.26,7679.35,31300.38,123930.93,FT
123701,Senior Administrative Analyst,89559.06,0,0,34356.89,123915.95,FT
123702,Worker's Comp Supervisor 1,90085.03,0,216,33612,123913.03,FT
123703,Transit Operator,64651.94,25446.88,288.5,33523.71,123911.03,FT
123704,Automotive Mechanic,78522.01,11148.41,2891.4,31348.15,123909.97,FT
123705,Transit Operator,65187.24,22548.18,1890.15,34282.37,123907.94,FT
123706,Stationary Engineer,78607.01,5189.05,7445.39,32665.28,123906.73,FT
123707,"Investigator,Taxi & AccessSvcs",77540,11159.88,4249.79,30953.35,123903.02,FT
123708,Transit Operator,63521.33,23947.09,2767.94,33666.49,123902.85,FT
123709,Carpenter,83880.03,3550.94,3504.5,32964.27,123899.74,FT
123710,IS Engineer-Journey,89978,0,0,33918.9,123896.9,FT
123711,Electrical Transit System Mech,81830.02,6805.41,2880,32378.68,123894.11,FT
123712,Accountant III,90290.73,0,0,33596.75,123887.48,FT
123713,Accountant III,90290.71,0,0,33596.73,123887.44,FT
123714,Senior Administrative Analyst,89586.46,0,0,34284.41,123870.87,FT
123715,Public SafetyComm Disp,88531.16,7274.53,7142.52,20908.88,123857.09,FT
123716,Protective Services Worker,86757.68,4255.63,956.41,31863.06,123832.78,PT
123717,Deputy Sheriff,78573.67,7477.74,7671.37,30105.86,123828.64,PT
123718,Psychiatric Social Worker,90227.84,0,0,33588.71,123816.55,FT
123719,Transit Operator,67153.05,12303.23,7449.32,36909.24,123814.84,FT
123720,Painter,78599.41,13161.29,808,31244.27,123812.97,FT
123721,Transit Operator,64836.47,19999.91,4210.15,34765.32,123811.85,FT
123722,Deputy Probation Officer,88228.7,4497.41,0,31084.78,123810.89,FT
123723,Transit Operator,66058.67,18326.99,4048.78,35359.71,123794.15,FT
123724,Senior Administrative Analyst,89582.99,0,0,34208.1,123791.09,FT
123725,Automotive Service Worker,63301,14199.24,15207.76,31082.02,123790.02,FT
123726,Electrical Transit System Mech,80366.92,1733.7,8624.92,33053.25,123778.79,FT
123727,Planner 3-Environmental Review,90692.62,0,860,32224.47,123777.09,PT
123728,Registered Nurse,82358.02,6910.24,12472.13,22033.05,123773.44,PT
123729,IS Business Analyst-Senior,92276.94,0,0,31492.49,123769.43,PT
123730,Transit Operator,67434.19,17845.06,4480.22,34004.25,123763.72,FT
123731,Psychiatric Social Worker,90185.06,0,0,33576.79,123761.85,FT
123732,Psychiatric Social Worker,90185.07,0,0,33574.89,123759.96,FT
123733,Medical Social Worker,90185.05,0,0,33574.37,123759.42,FT
123734,Employee Assistance Counselor,90185.06,0,0,33572.95,123758.01,FT
123735,"Marriage, Family & Child Cnslr",90185.05,0,0,33572.95,123758,FT
123736,Child Support Officer III,90185.05,0,0,33572.93,123757.98,FT
123737,Psychiatric Social Worker,90185.05,0,0,33572.93,123757.98,FT
123738,Medical Social Worker,90185.04,0,0,33572.93,123757.97,FT
123739,Child Support Officer III,90185.06,0,0,33572.91,123757.97,FT
123740,Medical Social Worker,90185.04,0,0,33572.91,123757.95,FT
123741,Medical Social Worker,90185.02,0,0,33572.92,123757.94,FT
123742,"Marriage, Family & Child Cnslr",90185.01,0,0,33572.91,123757.92,FT
123743,Medical Social Worker,90185.01,0,0,33572.91,123757.92,FT
123744,Medical Social Worker,90185,0,0,33572.9,123757.9,FT
123745,Medical Social Worker,90185,0,0,33572.9,123757.9,FT
123746,Psychiatric Social Worker,90185,0,0,33572.9,123757.9,FT
123747,Psychiatric Social Worker,90185,0,0,33572.9,123757.9,FT
123748,Child Support Officer III,90185,0,0,33572.9,123757.9,FT
123749,"Marriage, Family & Child Cnslr",90185.03,0,0,33571.97,123757,FT
